𝜆,FI*,t1*,t2*,t3*
10.1114464734734728,.405118843929790085e-2,.510287438064923535e-1,.210337900914075726e-1,.761737424145482022e-2
10.1624756456456460,.410460614056800017e-2,.511688296415002547e-1,.210677481251654794e-1,.762643669668830026e-2
10.2080386181181186,.415205657676809801e-2,.512890920976277337e-1,.210963981384679998e-1,.763397248401195393e-2
10.2592789459459457,.420513268219252934e-2,.514189800739296224e-1,.211267642084255781e-1,.764183081584746300e-2
10.3108589279279279,.425824306606333979e-2,.515440745034459122e-1,.211553805390884454e-1,.764909299466881316e-2
10.3621937592592595,.431077397031854898e-2,.516630212847520032e-1,.211819496643961165e-1,.765568616733163301e-2
10.4097877192192190,.435917643746035807e-2,.517684212948956446e-1,.212049075738090301e-1,.766124322508833239e-2
10.4590685080080075,.440898128044821085e-2,.518726806867218018e-1,.212270089679354769e-1,.766644363055586208e-2
10.5100347702702699,.446014576274782713e-2,.519753634371931186e-1,.212481089898307850e-1,.767123988007892017e-2
10.5608375830830834,.451078976867026662e-2,.520725922682551204e-1,.212673943101552541e-1,.767544258032910008e-2
10.6130945205205212,.456250350719336183e-2,.521673504993237433e-1,.212854449133943226e-1,.767917475057456819e-2
10.6591224594594589,.460772729384134345e-2,.522464697052050786e-1,.212998699415054074e-1,.768197503000101617e-2
10.7109390170170169,.465826646349727820e-2,.523307490858819918e-1,.213144874722545029e-1,.768459208976068030e-2
10.7629683383383377,.470860949313275066e-2,.524103531131150657e-1,.213274689457506744e-1,.768666036727837405e-2
10.8131082302302310,.475673508637083995e-2,.524823867271808908e-1,.213384020410270561e-1,.768813372754384872e-2
10.8586400555555560,.480010174291897740e-2,.525438872036621818e-1,.213470146584739152e-1,.768903833587970733e-2
10.9127817997998005,.485124676878431055e-2,.526122530343626285e-1,.213556575788027697e-1,.768958798777082640e-2
10.9586469589589584,.489420998013314224e-2,.526661871694386260e-1,.213616466954338058e-1,.768961539985521872e-2
11.0119990425425431,.494376195445691419e-2,.527244148150439740e-1,.213671069463365719e-1,.768915227907149019e-2
11.0592246766766760,.498723889259879063e-2,.527719799835500020e-1,.213706150511775821e-1,.768830727220999946e-2
11.1110386821821816,.503451983597920285e-2,.528199505036259717e-1,.213730620921124201e-1,.768692027994416147e-2
11.1603778683683679,.507913015865197985e-2,.528616046663219971e-1,.213740567609315875e-1,.768516179429122506e-2
11.2118581331331324,.512524394293569375e-2,.529009605197789320e-1,.213737353764764069e-1,.768288186021191637e-2
11.2591330865865871,.516719896678805805e-2,.529334776384485298e-1,.213722432405803985e-1,.768039648059345471e-2
11.3101255105105096,.521202976621456659e-2,.529647371575393475e-1,.213693765606012900e-1,.767730462393861543e-2
11.3630923078078077,.525812835217379267e-2,.529930977771656056e-1,.213650476125740590e-1,.767365164514000053e-2
11.4092000605605612,.529786700268943238e-2,.530144442117289269e-1,.213601828785898243e-1,.767011388680124018e-2
11.4589976966966969,.534037592865019804e-2,.530340748123040995e-1,.213538078787927875e-1,.766592747942821014e-2
11.5104435275275279,.538384304544133226e-2,.530506950724370929e-1,.213460263463927727e-1,.766121300276233468e-2
11.5607732362362370,.542592433160878160e-2,.530634297581124362e-1,.213372648654763138e-1,.765622687847927318e-2
11.6094698173173168,.546622214309291313e-2,.530725016935911578e-1,.213277311146945481e-1,.765105894865004011e-2
11.6635390680680686,.551048331001595219e-2,.530789102582322411e-1,.213159568888394990e-1,.764493467102255776e-2
11.7121226946946955,.554982001843085711e-2,.530814500134367123e-1,.213043356060539195e-1,.763909364818049063e-2
11.7639960860860864,.559136648038856352e-2,.530808728304354369e-1,.212908656081479651e-1,.763251281652269423e-2
11.8110010885885881,.562860873314235174e-2,.530774788016541571e-1,.212777350571321279e-1,.762625004753455810e-2
11.8623899719719716,.566888371804983443e-2,.530707132123877934e-1,.212623982502659729e-1,.761908551238068762e-2
11.9107429064064068,.570635923719190873e-2,.530614963436488452e-1,.212470535867818437e-1,.761204878109998824e-2
11.9612856551551552,.574509693479588902e-2,.530489732418793630e-1,.212300901985420822e-1,.760439502889506940e-2
12.0107004304304308,.578254079978388937e-2,.530339384922686105e-1,.212126150074098477e-1,.759662484102095401e-2
12.0624331206206215,.582128705389180386e-2,.530153096214704342e-1,.211934008663980759e-1,.758819394502882171e-2
12.1122578498498505,.585816622204152725e-2,.529946387200675231e-1,.211740291878359070e-1,.757979517153717797e-2
12.1632108318318313,.589543708969203929e-2,.529707955214765575e-1,.211533628038754959e-1,.757093097419556105e-2
12.2137418973973979,.593195782722125576e-2,.529445128613094812e-1,.211320350074297066e-1,.756187280992467147e-2
12.2601746986986981,.596513022167090724e-2,.529181006417608416e-1,.211117249217165105e-1,.755332089273023314e-2
12.3133919289289295,.600269610154549257e-2,.528852294375126639e-1,.210876307804913135e-1,.754325784612484146e-2
12.3609900540540547,.603588678598816330e-2,.528535320908108813e-1,.210653612555748264e-1,.753402712952098812e-2
12.4117395830830830,.607085175428958082e-2,.528174056139584167e-1,.210408894036603449e-1,.752395264899293967e-2
12.4603133578578582,.610391045185030689e-2,.527806293122154851e-1,.210167819075053608e-1,.751409152437128042e-2
12.5142482922922920,.614015355985775887e-2,.527373379430837522e-1,.209892509147756035e-1,.750289892421036279e-2
12.5609519824824822,.617114475294016935e-2,.526978146826037400e-1,.209647806313245193e-1,.749300629436443991e-2
12.6139610885885887,.620588095349654690e-2,.526507247020069555e-1,.209363180387769354e-1,.748155922905549640e-2
